0.000 0.098 0.204 0.143 0.090 0.132 0.209 0.078 0.135 0.097 0.199 0.157 0.241 0.166 0.170 0.108 0.192 0.094 0.087 0.175 0.155 0.077 0.076 0.101 0.097 0.093 0.202 0.083 0.081 0.118 0.194 0.174 0.245 0.104 0.196 0.144 0.142 0.157 0.194 0.148 0.117 0.123 0.228 0.170 0.204 0.159 0.237 0.214 0.251 0.087
0.000 0.000 0.178 0.191 0.066 0.064 0.187 0.084 0.178 0.063 0.217 0.172 0.241 0.107 0.142 0.167 0.139 0.136 0.085 0.217 0.090 0.081 0.040 0.037 0.140 0.013 0.203 0.029 0.120 0.042 0.200 0.166 0.246 0.028 0.210 0.111 0.103 0.181 0.187 0.198 0.125 0.080 0.189 0.135 0.228 0.110 0.249 0.247 0.247 0.092
0.000 0.000 0.000 0.315 0.143 0.125 0.115 0.222 0.251 0.150 0.131 0.129 0.177 0.097 0.116 0.279 0.084 0.264 0.243 0.247 0.111 0.231 0.196 0.147 0.226 0.175 0.189 0.194 0.209 0.144 0.182 0.181 0.174 0.155 0.176 0.093 0.139 0.206 0.152 0.316 0.153 0.126 0.060 0.073 0.188 0.083 0.142 0.285 0.124 0.245
0.000 0.000 0.000 0.000 0.200 0.244 0.312 0.118 0.143 0.202 0.288 0.249 0.333 0.283 0.270 0.085 0.311 0.068 0.111 0.209 0.269 0.113 0.157 0.209 0.116 0.187 0.284 0.166 0.138 0.224 0.274 0.243 0.320 0.208 0.288 0.256 0.243 0.211 0.282 0.012 0.202 0.234 0.348 0.288 0.256 0.276 0.336 0.242 0.338 0.104
0.000 0.000 0.000 0.000 0.000 0.067 0.154 0.099 0.160 0.059 0.169 0.133 0.199 0.098 0.115 0.165 0.123 0.142 0.113 0.192 0.086 0.104 0.068 0.048 0.131 0.060 0.178 0.071 0.107 0.060 0.172 0.141 0.204 0.054 0.180 0.081 0.083 0.146 0.156 0.204 0.082 0.059 0.162 0.105 0.192 0.092 0.197 0.220 0.209 0.117
0.000 0.000 0.000 0.000 0.000 0.000 0.148 0.135 0.208 0.071 0.187 0.149 0.213 0.045 0.111 0.213 0.078 0.186 0.145 0.232 0.029 0.137 0.094 0.040 0.173 0.064 0.190 0.087 0.149 0.027 0.184 0.161 0.217 0.042 0.191 0.071 0.087 0.189 0.160 0.250 0.120 0.055 0.128 0.082 0.213 0.052 0.214 0.264 0.206 0.150
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.216 0.245 0.172 0.167 0.149 0.157 0.135 0.070 0.282 0.121 0.259 0.239 0.271 0.142 0.227 0.197 0.159 0.230 0.183 0.169 0.198 0.212 0.161 0.147 0.170 0.190 0.167 0.150 0.122 0.123 0.232 0.142 0.315 0.176 0.142 0.120 0.106 0.203 0.125 0.148 0.282 0.143 0.241
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.117 0.103 0.221 0.176 0.250 0.175 0.171 0.107 0.202 0.060 0.037 0.187 0.161 0.030 0.049 0.101 0.085 0.081 0.215 0.061 0.078 0.115 0.204 0.161 0.255 0.100 0.218 0.156 0.140 0.169 0.207 0.124 0.139 0.130 0.245 0.183 0.223 0.169 0.262 0.212 0.275 0.038
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.165 0.189 0.159 0.217 0.237 0.206 0.122 0.255 0.110 0.141 0.119 0.229 0.137 0.148 0.180 0.093 0.175 0.235 0.159 0.110 0.194 0.208 0.148 0.211 0.185 0.224 0.200 0.182 0.132 0.200 0.141 0.146 0.189 0.283 0.222 0.169 0.221 0.240 0.133 0.267 0.139
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.171 0.128 0.210 0.102 0.123 0.166 0.127 0.148 0.113 0.177 0.091 0.106 0.069 0.054 0.132 0.062 0.181 0.069 0.100 0.060 0.181 0.150 0.210 0.057 0.186 0.083 0.091 0.140 0.160 0.207 0.090 0.062 0.172 0.112 0.196 0.097 0.210 0.218 0.214 0.118
